id,x,y,width,height,text,type
0,352.5,7.5,898.0,43.0,Year Distributions for Three Time Expressions,title
6,786.0,94.5,50.5,46.0,96,x-axis-label
7,871.5,94.5,50.5,46.0,97,x-axis-label
8,957.0,94.5,50.5,46.0,98,x-axis-label
9,1041.0,94.5,50.5,46.0,99,x-axis-label
10,1125.0,94.5,50.5,46.0,Q0,x-axis-label
11,1210.5,94.5,50.5,46.0,Q1,x-axis-label
12,1293.0,94.5,50.5,46.0,Q2,x-axis-label
13,1380.0,94.5,50.5,46.0,Q3,x-axis-label
14,1465.5,94.5,50.5,46.0,Q4,x-axis-label
15,1549.5,94.5,50.5,46.0,Q5,x-axis-label
16,715.5,183.0,32.5,25.0,0.2,y-axis-label
17,285.0,205.5,391.0,40.0,"Pv(y | ""peaked in 2000"")",text-label
24,148.5,294.0,527.5,38.5,"Pv(y I ""was the quarter of 1999"")",text-label
33,4.5,391.5,671.5,38.5,"Pv(y I ""will have difficulty in part of 2003"")",text-label
44,717.0,235.5,32.5,23.5,0.0,y-axis-label
45,717.0,276.0,32.5,23.5,0.2,y-axis-label
46,715.5,327.0,32.5,25.0,0.0,y-axis-label
47,714.0,376.5,32.5,25.0,0.2,y-axis-label
48,712.5,429.0,32.5,23.5,0.0,y-axis-label
49,201.0,499.5,470.5,40.0,Final Distribution - Pyear(Y|d),text-label
55,715.5,483.0,32.5,23.5,0.2,y-axis-label
56,714.0,534.0,32.5,25.0,0.0,y-axis-label
